R,pruebasEntrega/A_1000.txt,406,540us
H,pruebasEntrega/A_1000.txt,351,365us
R,pruebasEntrega/IQ_0.95_5000.txt,3,27161us
H,pruebasEntrega/IQ_0.95_5000.txt,3,52695us
R,pruebasEntrega/matriz_10000_0.5.txt,11,91229us
H,pruebasEntrega/matriz_10000_0.5.txt,9,168364us
R,pruebasEntrega/matriz_10000_0.8.txt,5,127902us
H,pruebasEntrega/matriz_10000_0.8.txt,4,217893us
R,pruebasEntrega/matriz_1000_0.5.txt,7,559us
H,pruebasEntrega/matriz_1000_0.5.txt,6,1051us
R,pruebasEntrega/matriz_1000_0.8.txt,4,732us
H,pruebasEntrega/matriz_1000_0.8.txt,3,1510us
R,pruebasEntrega/matriz_100_0.5.txt,5,7us
H,pruebasEntrega/matriz_100_0.5.txt,4,13us
R,pruebasEntrega/matriz_100_1.txt,1,8us
H,pruebasEntrega/matriz_100_1.txt,1,18us
R,pruebasEntrega/matriz1.txt,1,1us
H,pruebasEntrega/matriz1.txt,1,1us
R,pruebasEntrega/matriz_20_0.5.txt,4,1us
H,pruebasEntrega/matriz_20_0.5.txt,3,2us
R,pruebasEntrega/matriz_20_0.8.txt,2,1us
H,pruebasEntrega/matriz_20_0.8.txt,2,2us
R,pruebasEntrega/matriz2.txt,1,1us
H,pruebasEntrega/matriz2.txt,1,2us
R,pruebasEntrega/matriz3.txt,25,3us
H,pruebasEntrega/matriz3.txt,2,2us
R,pruebasEntrega/matriz4.txt,2,1us
H,pruebasEntrega/matriz4.txt,2,1us
R,pruebasEntrega/matriz_5000_0.5.txt,9,17554us
H,pruebasEntrega/matriz_5000_0.5.txt,8,34442us
R,pruebasEntrega/matriz_5000_0.8.txt,4,25303us
H,pruebasEntrega/matriz_5000_0.8.txt,4,47671us
R,pruebasEntrega/matriz_500_0.5.txt,7,111us
H,pruebasEntrega/matriz_500_0.5.txt,5,234us
R,pruebasEntrega/matriz_500_0.8.txt,3,175us
H,pruebasEntrega/matriz_500_0.8.txt,3,357us
R,pruebasEntrega/matriz5.txt,6,1us
H,pruebasEntrega/matriz5.txt,2,2us
R,pruebasEntrega/matriz6.txt,15,2us
H,pruebasEntrega/matriz6.txt,8,2us
R,pruebasEntrega/matriz7.txt,12,2us
H,pruebasEntrega/matriz7.txt,13,3us
R,pruebasEntrega/mstar1000_1.txt,3,21us
H,pruebasEntrega/mstar1000_1.txt,3,40us
R,pruebasEntrega/mstar200_1.txt,3,4us
H,pruebasEntrega/mstar200_1.txt,3,8us
R,pruebasEntrega/mstar500_2.txt,3,10us
H,pruebasEntrega/mstar500_2.txt,3,20us
R,pruebasEntrega/Q_1000.txt,1,987us
H,pruebasEntrega/Q_1000.txt,1,1907us
R,pruebasEntrega/random_con_caminos_5000_0.3.txt,16,10608us
H,pruebasEntrega/random_con_caminos_5000_0.3.txt,13,20123us
R,pruebasEntrega/random_con_caminos_5000_0.5.txt,10,17104us
H,pruebasEntrega/random_con_caminos_5000_0.5.txt,8,32400us
R,pruebasEntrega/random_con_caminos_5000_0.7.txt,6,22814us
H,pruebasEntrega/random_con_caminos_5000_0.7.txt,5,44361us
R,pruebasEntrega/rmstar1000_0.6.txt,9,430us
H,pruebasEntrega/rmstar1000_0.6.txt,3,844us
R,pruebasEntrega/rmstar100_0.6_1.txt,3,5us
H,pruebasEntrega/rmstar100_0.6_1.txt,3,12us
R,pruebasEntrega/rmstar100_0.6_2.txt,3,6us
H,pruebasEntrega/rmstar100_0.6_2.txt,3,12us
R,pruebasEntrega/rmstar100_0.8_1.txt,3,5us
H,pruebasEntrega/rmstar100_0.8_1.txt,3,9us
R,pruebasEntrega/rmstar100_0.8_2.txt,10,6us
H,pruebasEntrega/rmstar100_0.8_2.txt,3,10us
R,pruebasEntrega/rmstar500_0.8.txt,3,54us
H,pruebasEntrega/rmstar500_0.8.txt,3,103us
R,pruebasEntrega/S_100.txt,1,2us
H,pruebasEntrega/S_100.txt,1,4us
